YEAR,CASHFLOW,DISCOUNTED_CASHFLOW,CUMULATIVE_CASHFLOW
0,-2030.6899999999998,-2030.6899999999998,-2030.6899999999998
1,287.78718936000007,258.0324964774748,-1772.657503522525
2,287.78718936000007,231.35418010254284,-1541.3033234199822
3,287.78718936000007,207.43416965541905,-1333.8691537645632
4,287.78718936000007,185.987280288437,-1147.8818734761262
5,287.78718936000007,166.75781278731077,-981.1240606888155
6,287.78718936000007,149.5165050130401,-831.6075556757753
7,287.78718936000007,134.0577985382136,-697.5497571375618
8,287.78718936000007,120.19738788934959,-577.3523692482122
9,287.78718936000007,107.77002317626814,-469.5823460719441
10,287.78718936000007,96.62753991047832,-372.95480616146574
11,287.78718936000007,86.63709252321233,-286.3177136382534
12,287.78718936000007,77.67957052233412,-208.63814311591926
13,287.78718936000007,69.64817840485104,-138.98996471106824
14,287.78718936000007,62.44716239412339,-76.54280231694486
15,287.78718936000007,55.990668821374456,-20.552133495570402
16,287.78718936000007,50.20172054062539,29.649587045054986
17,287.78718936000007,45.01129917342507,74.66088621848006
18,287.78718936000007,40.35752224149443,115.0184084599745
19,287.78718936000007,36.184905376699916,151.2033138366744
20,287.78718936000007,32.443700812100246,183.64701464877464
21,287.78718936000007,29.08930426726657,212.73631891604123
22,287.78718936000007,26.081723156503095,238.81804207254433
23,287.78718936000007,23.385099779713336,262.20314185225766
24,287.78718936000007,20.967283811184714,283.17042566344236
25,287.78718936000007,18.799448989315266,301.96987465275765
26,287.78718936000007,16.85574943728954,318.8256240900472
27,287.78718936000007,15.113011517208037,333.93863560725526
28,287.78718936000007,13.55045754382018,347.48909315107545
29,287.78718936000007,12.14945806385477,359.6385512149302
30,287.78718936000007,10.89330974751361,370.53186096244383
31,287.78718936000007,9.767036244053289,380.29889720649714
32,287.78718936000007,8.757209627168127,389.0561068336653
33,287.78718936000007,7.851790301367873,396.9078971350332
34,287.78718936000007,7.039983460643838,403.947880595677
35,287.78718936000007,6.3121103880607485,410.2599909837378
36,287.78718936000007,5.659493061851685,415.91948404558946
37,287.78718936000007,5.074350692239366,420.9938347378288
38,287.78718936000007,4.549706955450444,425.5435416932793
39,287.78718936000007,4.079306818926046,429.62284851220534
40,555.4071893600001,7.058775298044485,436.68162381024985
